movie_id,actor_id,ord
1983030,30,1
2671533,30,2
2468994,379,3
2205054,690,4
2765855,835,2
2584552,1044,3
2746534,1207,3
2324105,1675,1
2604582,1860,3
2136186,1934,1
1931640,2184,2
2457526,2184,2
1841322,2187,1
1841323,2187,1
1841324,2187,1
1841325,2187,1
1841327,2187,1
1841328,2187,1
1841329,2187,1
1841330,2187,1
1847041,2187,1
1935331,2187,1
1935332,2187,1
1935469,2187,1
1935472,2187,1
1973042,2187,1
2148375,2187,1
2154942,2187,1
2156341,2187,1
2185317,2187,1
2186239,2187,1
2196585,2187,1
2199710,2187,1
1941733,1237285,5
2222895,2187,1
2288459,2187,1
2474575,1237285,4
2296547,2187,1
2296556,2187,1
2329792,2187,1
2395108,2187,4
2411106,2187,1
2468155,2187,1
2469620,2187,1
2634276,2187,1
2635719,2187,1
2659980,2187,1
1930419,1237523,1
2667979,2187,1
2745153,2187,1
2292389,1237523,1
2005035,2283,4
2619918,2495,1
1946454,2814,3
1946454,2857,4
1850462,3022,1
2297233,3449,4
2589873,3449,5
2660241,3449,5
2020443,3554,4
2037615,3554,4
2327405,1237523,3
2240566,3554,5
2318754,3554,1
2329569,3554,1
2421393,3554,1
2488424,3554,3
2418533,3595,4
1812646,3654,5
2106352,3654,3
2156266,3654,5
2156630,3654,5
2195917,3654,3
2348564,3654,3
2616510,3654,5
2750245,3654,3
2360992,3880,1
1876949,3945,4
2707745,4023,4
2419658,4363,4
1896003,4672,1
1963485,4785,5
1859571,4795,1
2087972,4795,3
2263769,4795,2
2647110,4795,5
2071086,5204,4
1853216,5636,3
2479514,5728,4
2462727,6653,2
2252681,6690,4
2517305,6690,5
2549728,6690,3
2222528,6883,4
2462002,6887,4
2491852,7104,1
1913178,7330,4
2281785,7330,4
2624477,7330,2
2631263,7330,2
2143880,7394,5
2345980,7394,5
2512349,7394,4
2582799,7394,3
2128397,8480,4
2120532,8637,5
2343712,8960,5
2639339,8960,1
2093000,9470,4
1947775,9512,5
2076273,9772,5
2024700,9884,2
2106139,9884,2
2216995,9884,1
2375412,9884,3
2424384,9884,5
2567534,9884,5
2603310,9884,5
2659208,9968,1
1885679,10121,1
2464259,10140,5
1072415,10203,3
2278795,10386,1
61019,10620,5
1482656,10620,4
1859809,10864,5
2179918,10864,5
2606554,10885,2
2659967,10885,2
2229662,10891,5
2367183,10891,5
2739957,10891,4
2297838,11361,3
2602779,11963,4
2313877,11968,3
2539205,12002,4
1842483,12011,5
1989280,12011,3
2163340,12011,4
2229806,12011,5
2596857,12011,4
2731423,12011,5
2568596,12017,5
2019743,12336,1
2024117,12336,2
2291914,12336,3
2333110,12336,3
2749475,12336,4
2034251,12370,5
2037759,12506,4
2585949,12506,3
2337365,1237523,1
2597470,12506,4
2633456,12506,3
2147236,12539,2
1843815,12649,1
2297838,12649,4
2566894,12649,2
1876131,13035,1
1876638,13035,3
1954777,13035,1
1956179,13035,2
1994398,13035,1
2516150,1237523,1
2077305,13035,1
2096224,13035,1
2116882,13035,1
2124608,13035,3
2203251,13035,3
2596633,1237523,1
2311569,13035,5
2415701,13035,1
2416199,13035,1
2462002,13035,1
2541920,13035,2
2660504,13035,1
1956179,13038,5
2123688,13038,1
2410837,13038,4
2579403,13038,5
2680575,13038,4
2687563,13038,3
2353422,13044,3
2208011,13045,1
2306637,13218,5
1858234,13575,3
1883803,13575,1
2466432,13575,1
2487058,13575,2
2508392,13575,3
2565658,13575,1
2586225,13575,1
2632297,13575,1
2160004,13841,2
2041441,13920,1
2535831,14696,3
2252238,14864,4
2662707,15026,3
2487864,15508,3
1832521,16178,2
