id,title,yr,score,votes,director
2677955,Tillie's Punctured Romance,1914,7.4,2206,"Sennett, Mack"
1941428,Cabiria,1914,6.4,1680,"Pastrone, Giovanni"
2114333,Gertie the Dinosaur,1914,7.2,1491,"McCay, Winsor"
2225845,Kid Auto Races at Venice,1914,5.7,1239,"Lehrman, Henry"
2310045,Making a Living,1914,5.4,871,"Lehrman, Henry"
2211988,Judith of Bethulia,1914,7.9,804,"Griffith, D.W."
2648159,The Rounders,1914,6.3,752,"Chaplin, Charles"
2579819,The Avenging Conscience: or 'Thou Shalt Not Kill',1914,7.0,710,"Griffith, D.W."
1964434,Cinderella,1914,7.0,705,"Kirkwood, James"
2080084,Fantômas contre Fantômas,1914,6.6,695,"Feuillade, Louis"
1908080,Between Showers,1914,5.5,689,"Lehrman, Henry"
2639720,The Perils of Pauline,1914,7.8,686,"Gasnier, Louis J."
1826522,A Film Johnnie,1914,5.5,665,"Nichols, George"
1984562,"Cruel, Cruel Love",1914,5.4,585,"Nichols, George"
2305111,Mabel's Strange Predicament,1914,5.3,572,"Normand, Mabel"
2620021,The Knockout,1914,5.9,571,"Sennett, Mack"
2265336,Laughing Gas,1914,5.5,561,"Chaplin, Charles"
2655110,The Squaw Man,1914,6.3,558,"DeMille, Cecil B."
2564809,Tango Tangles,1914,5.3,543,"Sennett, Mack"
1951026,Caught in a Cabaret,1914,5.7,542,"Normand, Mabel"
2305105,Mabel's Married Life,1914,5.7,541,"Sennett, Mack"
2629987,The Masquerader,1914,5.9,531,"Chaplin, Charles"
2153834,His New Profession,1914,6.0,509,"Chaplin, Charles"
2268685,Le faux magistrat,1914,6.5,494,"Feuillade, Louis"
1822733,A Busy Day,1914,4.9,481,"Sennett, Mack"
2698253,Twenty Minutes of Love,1914,5.7,469,"Maddern, Joseph"
2153431,His Favorite Pastime,1914,4.9,468,"Nichols, George"
2673853,Those Love Pangs,1914,5.3,454,"Chaplin, Charles"
2602316,The Face on the Bar Room Floor,1914,5.1,443,"Chaplin, Charles"
2459326,Recreation,1914,5.0,434,"Chaplin, Charles"
2305100,Mabel's Busy Day,1914,5.5,422,"Sennett, Mack"
2036398,Dough and Dynamite,1914,5.9,405,"Chaplin, Charles"
2603183,The Fatal Mallet,1914,5.5,382,"Sennett, Mack"
2153792,His Musical Career,1914,5.9,379,"Chaplin, Charles"
2634777,The New Janitor,1914,5.9,366,"Chaplin, Charles"
2655333,The Star Boarder,1914,5.2,356,"Nichols, George"
2114993,Getting Acquainted,1914,5.5,347,"Chaplin, Charles"
1951113,Caught in the Rain,1914,5.6,333,"Chaplin, Charles"
2153923,His Prehistoric Past,1914,5.2,322,"Chaplin, Charles"
2305087,Mabel at the Wheel,1914,5.5,302,"Normand, Mabel"
2154058,His Trysting Place,1914,6.3,299,"Chaplin, Charles"
2153718,"His Majesty, the Scarecrow of Oz",1914,5.1,298,"Baum, L. Frank"
2113519,Gentlemen of Nerve,1914,5.6,296,"Chaplin, Charles"
2643145,The Property Man,1914,5.7,280,"Chaplin, Charles"
2638853,The Patchwork Girl of Oz,1914,5.8,225,"MacDonald, J. Farrell"
2015971,Det hemmelighedsfulde X,1914,6.7,211,"Christensen, Benjamin"
2626949,The Magic Cloak,1914,5.5,189,"MacDonald, J. Farrell"
2028539,Ditya bolshogo goroda,1914,6.8,158,"Bauer, Yevgeni"
1838101,A Trip to the Moon,1914,7.6,156,"Whitman, Vincent"
